"Satisfacao","Genero","Tipo","Distancia","WiFi","Comida_Bebida","Limpeza"
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",667,2,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1670,3,1,5
"Satisfeito","Feminino","Cliente Fiel",406,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",261,4,4,4
"Satisfeito","Masculino","Cliente Fiel",2378,3,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1846,2,2,5
"Satisfeito","Masculino","Cliente Fiel",3334,1,2,5
"Satisfeito","Feminino","Cliente Nao Fiel",944,5,5,5
"Satisfeito","Masculino","Cliente Fiel",1744,3,3,5
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",370,3,2,2
"Satisfeito","Feminino","Cliente Fiel",1056,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1042,3,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",409,3,4,1
"Satisfeito","Feminino","Cliente Fiel",689,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",175,4,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",308,3,3,3
"Satisfeito","Feminino","Cliente Fiel",423,5,5,4
"Satisfeito","Feminino","Cliente Fiel",1987,3,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",666,2,1,1
"Satisfeito","Feminino","Cliente Fiel",3930,4,5,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1919,3,1,1
"Satisfeito","Masculino","Cliente Fiel",325,1,5,5
"Satisfeito","Feminino","Cliente Fiel",1010,4,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",366,1,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",471,2,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1044,2,5,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",1183,1,1,1
"Satisfeito","Feminino","Cliente Fiel",3984,2,5,5
"Satisfeito","Masculino","Cliente Fiel",1782,1,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",223,1,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",429,2,2,2
"Satisfeito","Masculino","Cliente Fiel",1846,2,3,3
"Satisfeito","Masculino","Cliente Fiel",1035,4,4,4
"Satisfeito","Feminino","Cliente Nao Fiel",1009,4,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1005,1,4,4
"Satisfeito","Feminino","Cliente Fiel",3341,5,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",515,3,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",366,3,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",125,3,2,2
"Satisfeito","Masculino","Cliente Fiel",804,4,4,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",175,1,1,1
"Satisfeito","Masculino","Cliente Fiel",2218,2,3,4
"Satisfeito","Feminino","Cliente Fiel",2866,3,1,5
"Satisfeito","Masculino","Cliente Fiel",1722,3,2,4
"Satisfeito","Feminino","Cliente Fiel",1400,0,4,4
"Satisfeito","Feminino","Cliente Fiel",192,2,3,5
"Satisfeito","Masculino","Cliente Fiel",2603,4,5,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",227,3,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",285,4,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",391,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",782,3,3,3
"Satisfeito","Feminino","Cliente Nao Fiel",666,4,4,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1522,3,3,3
"Satisfeito","Masculino","Cliente Fiel",1162,4,4,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",227,3,3,3
"Satisfeito","Masculino","Cliente Fiel",268,5,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",216,2,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",591,1,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",296,1,3,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1535,2,2,2
"Satisfeito","Feminino","Cliente Fiel",3982,5,2,1
"Satisfeito","Feminino","Cliente Fiel",919,4,5,5
"Satisfeito","Feminino","Cliente Fiel",3814,2,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",110,3,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",372,3,5,5
"Satisfeito","Masculino","Cliente Fiel",1608,2,4,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1008,3,3,3
"Satisfeito","Feminino","Cliente Fiel",3214,1,4,2
"Satisfeito","Masculino","Cliente Nao Fiel",173,4,3,3
"Satisfeito","Feminino","Cliente Nao Fiel",1411,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",113,3,3,3
"Satisfeito","Masculino","Cliente Fiel",2089,5,5,5
"Satisfeito","Feminino","Cliente Fiel",3018,3,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",900,3,3,3
"Satisfeito","Feminino","Cliente Fiel",1014,4,4,4
"Satisfeito","Masculino","Cliente Nao Fiel",590,0,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",419,2,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",266,1,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",631,1,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",337,4,4,4
"Satisfeito","Feminino","Cliente Fiel",563,4,4,4
"Satisfeito","Feminino","Cliente Fiel",101,5,5,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",421,2,3,1
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1351,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",304,1,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",472,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1128,1,3,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1005,2,5,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",944,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",315,3,4,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1416,2,2,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",137,3,4,4
"Satisfeito","Feminino","Cliente Fiel",719,1,5,5
"Satisfeito","Feminino","Cliente Fiel",110,5,1,2
"Satisfeito","Feminino","Cliente Nao Fiel",265,0,4,4
"Satisfeito","Feminino","Cliente Nao Fiel",337,0,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2556,1,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1389,2,4,4
"Satisfeito","Masculino","Cliente Fiel",377,5,5,5
"Satisfeito","Masculino","Cliente Fiel",1962,1,2,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",216,2,2,5
"Satisfeito","Feminino","Cliente Fiel",3466,3,4,4
"Satisfeito","Masculino","Cliente Nao Fiel",641,5,5,5
"Satisfeito","Feminino","Cliente Fiel",2139,2,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",134,4,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2370,2,3,3
"Satisfeito","Feminino","Cliente Fiel",1987,5,2,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",967,2,3,3
"Satisfeito","Masculino","Cliente Nao Fiel",679,0,1,1
"Satisfeito","Masculino","Cliente Fiel",1613,4,1,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",163,4,5,5
"Satisfeito","Feminino","Cliente Fiel",1854,3,2,3
"Satisfeito","Masculino","Cliente Fiel",1634,4,3,4
"Satisfeito","Masculino","Cliente Fiel",265,5,5,5
"Satisfeito","Feminino","Cliente Fiel",2642,4,3,5
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1041,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",447,3,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",834,1,1,1
"Satisfeito","Masculino","Cliente Fiel",3904,5,1,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1217,3,3,3
"Satisfeito","Masculino","Cliente Fiel",444,2,2,4
"Satisfeito","Masculino","Cliente Fiel",303,5,5,5
"Satisfeito","Feminino","Cliente Fiel",1575,5,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",3144,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",140,1,4,4
"Satisfeito","Feminino","Cliente Fiel",1337,4,2,5
"Satisfeito","Masculino","Cliente Fiel",3014,4,4,4
"Satisfeito","Feminino","Cliente Nao Fiel",342,0,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",425,3,2,4
"Satisfeito","Masculino","Cliente Fiel",594,3,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",170,2,5,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",650,3,5,5
"Satisfeito","Masculino","Cliente Fiel",3006,4,5,3
"Satisfeito","Feminino","Cliente Fiel",308,3,4,3
"Satisfeito","Feminino","Cliente Fiel",1037,2,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1846,3,2,2
"Satisfeito","Feminino","Cliente Nao Fiel",507,4,2,2
"Satisfeito","Feminino","Cliente Fiel",926,5,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",679,3,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",413,1,3,3
"Satisfeito","Feminino","Cliente Fiel",1774,3,3,5
"Satisfeito","Masculino","Cliente Fiel",145,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1102,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2288,1,5,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",946,2,4,4
"Satisfeito","Masculino","Cliente Fiel",2402,3,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",562,2,4,1
"Satisfeito","Masculino","Cliente Fiel",145,0,4,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",569,4,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",696,1,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",679,1,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",867,2,1,1
"Satisfeito","Feminino","Cliente Nao Fiel",370,5,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",370,3,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2446,3,4,2
"Satisfeito","Masculino","Cliente Fiel",3251,2,2,3
"Satisfeito","Feminino","Cliente Fiel",2288,5,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2797,3,3,4
"Satisfeito","Feminino","Cliente Fiel",666,3,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",383,3,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1076,2,3,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",577,4,2,2
"Satisfeito","Feminino","Cliente Nao Fiel",407,4,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",250,3,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1217,1,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1346,4,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",836,1,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",216,4,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2342,2,2,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",719,1,2,2
"Satisfeito","Masculino","Cliente Fiel",2610,5,3,2
"Satisfeito","Masculino","Cliente Fiel",414,1,4,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",680,2,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",137,1,1,1
"Satisfeito","Masculino","Cliente Fiel",1428,5,3,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1508,2,1,2
"Satisfeito","Feminino","Cliente Fiel",3180,4,5,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",770,4,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1189,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",164,1,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",907,2,2,1
"Satisfeito","Masculino","Cliente Fiel",158,5,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",301,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",222,2,5,5
"Satisfeito","Masculino","Cliente Fiel",1084,5,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",986,1,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",631,4,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",248,3,2,2
"Satisfeito","Masculino","Cliente Fiel",1828,1,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",166,2,5,5
"Satisfeito","Masculino","Cliente Fiel",1591,2,2,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",1013,4,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",663,1,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",3226,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",899,4,4,4
"Satisfeito","Masculino","Cliente Fiel",432,2,1,2
"Satisfeito","Masculino","Cliente Fiel",2497,1,5,5
"Satisfeito","Masculino","Cliente Fiel",2043,4,5,4
"Satisfeito","Masculino","Cliente Fiel",486,4,5,3
"Satisfeito","Feminino","Cliente Nao Fiel",223,4,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1514,1,4,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",184,3,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",491,2,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",770,3,4,4
"Satisfeito","Feminino","Cliente Fiel",413,4,2,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",670,3,1,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1235,2,4,4
"Satisfeito","Masculino","Cliente Fiel",221,3,3,3
"Satisfeito","Feminino","Cliente Fiel",2092,3,4,4
"Satisfeito","Masculino","Cliente Fiel",1979,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2611,2,1,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",391,1,1,1
"Satisfeito","Feminino","Cliente Fiel",1931,3,4,4
"Satisfeito","Feminino","Cliente Fiel",189,0,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",516,3,4,2
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1739,3,5,5
"Satisfeito","Masculino","Cliente Nao Fiel",639,4,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",416,1,1,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2454,1,1,2
"Satisfeito","Masculino","Cliente Fiel",2704,3,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",759,3,4,4
"Satisfeito","Feminino","Cliente Fiel",3145,1,4,4
"Satisfeito","Feminino","Cliente Fiel",2921,4,2,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",308,3,2,2
"Satisfeito","Masculino","Cliente Fiel",2556,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",771,3,2,2
"Satisfeito","Masculino","Cliente Fiel",2177,5,2,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",554,4,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",3857,1,1,1
"Satisfeito","Masculino","Cliente Fiel",2611,5,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",150,2,2,2
"Satisfeito","Feminino","Cliente Fiel",1547,1,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",719,1,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1825,1,3,4
"Satisfeito","Masculino","Cliente Nao Fiel",134,0,3,3
"Satisfeito","Masculino","Cliente Fiel",589,3,5,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",731,2,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",651,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",802,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",258,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",1249,3,2,2
"Satisfeito","Feminino","Cliente Fiel",471,5,5,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",264,2,5,5
"Satisfeito","Masculino","Cliente Fiel",152,5,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",594,3,3,3
"Satisfeito","Feminino","Cliente Fiel",852,5,3,3
"Satisfeito","Masculino","Cliente Fiel",3465,2,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",283,1,2,1
"Satisfeito","Masculino","Cliente Fiel",1605,4,2,5
"Satisfeito","Masculino","Cliente Fiel",3624,2,3,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",247,4,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",775,4,2,2
"Satisfeito","Feminino","Cliente Fiel",2143,5,5,5
"Satisfeito","Masculino","Cliente Fiel",3943,4,5,3
"Satisfeito","Feminino","Cliente Fiel",3938,4,2,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",507,3,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1874,3,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",125,4,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",129,3,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",280,3,3,3
"Satisfeito","Masculino","Cliente Fiel",2889,5,3,4
"Satisfeito","Feminino","Cliente Fiel",862,5,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",335,2,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",201,3,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2432,4,4,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",3395,1,2,3
"Satisfeito","Masculino","Cliente Fiel",522,3,3,5
"Satisfeito","Masculino","Cliente Fiel",1237,4,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",109,4,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1144,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",451,2,2,2
"Satisfeito","Feminino","Cliente Fiel",3517,5,4,4
"Satisfeito","Masculino","Cliente Fiel",3949,0,2,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1084,2,5,5
"Satisfeito","Feminino","Cliente Fiel",126,5,3,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",867,3,3,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",868,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",612,1,1,1
"Satisfeito","Masculino","Cliente Fiel",1549,2,2,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",738,3,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",175,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",277,4,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",876,3,3,3
"Satisfeito","Feminino","Cliente Fiel",347,5,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",697,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",342,3,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",405,2,4,3
"Satisfeito","Feminino","Cliente Fiel",466,1,2,5
"Satisfeito","Masculino","Cliente Fiel",469,2,5,3
"Satisfeito","Feminino","Cliente Fiel",641,2,5,5
"Satisfeito","Feminino","Cliente Fiel",1851,5,5,3
"Satisfeito","Masculino","Cliente Fiel",236,0,2,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",814,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",2311,1,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",229,3,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2475,4,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",307,4,2,2
"Satisfeito","Masculino","Cliente Fiel",584,1,2,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",987,1,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",362,3,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",395,3,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2227,1,1,3
"Satisfeito","Masculino","Cliente Fiel",2441,1,5,4
"Satisfeito","Feminino","Cliente Fiel",1739,4,5,4
"Satisfeito","Masculino","Cliente Fiel",308,4,4,4
"Satisfeito","Masculino","Cliente Fiel",2829,2,4,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",528,3,5,5
"Satisfeito","Feminino","Cliente Nao Fiel",777,5,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1963,2,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",719,3,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",328,3,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",391,1,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",842,2,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",273,4,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1195,2,3,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",628,3,2,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",3904,2,2,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1036,3,2,2
"Satisfeito","Masculino","Cliente Fiel",2965,1,3,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",377,4,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",3802,2,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",528,1,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",159,3,3,3
"Satisfeito","Masculino","Cliente Fiel",1823,1,5,4
"Satisfeito","Masculino","Cliente Fiel",552,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",862,4,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1222,4,5,5
"Satisfeito","Masculino","Cliente Fiel",475,4,4,4
"Satisfeito","Feminino","Cliente Fiel",618,5,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",675,1,1,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",599,1,2,2
"Satisfeito","Feminino","Cliente Fiel",937,4,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",453,3,3,3
"Satisfeito","Masculino","Cliente Fiel",115,4,4,4
"Satisfeito","Masculino","Cliente Fiel",1256,4,3,5
"Satisfeito","Masculino","Cliente Fiel",971,4,4,3
"Satisfeito","Masculino","Cliente Fiel",1916,4,4,3
"Satisfeito","Masculino","Cliente Fiel",2248,4,2,4
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",570,3,3,3
"Satisfeito","Feminino","Cliente Fiel",216,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2253,3,2,2
"Satisfeito","Feminino","Cliente Fiel",3252,1,2,2
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",235,2,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",862,2,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2182,3,1,1
"Satisfeito","Feminino","Cliente Fiel",3634,0,4,3
"Satisfeito","Masculino","Cliente Fiel",551,5,4,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",985,3,4,3
"Satisfeito","Feminino","Cliente Fiel",2200,2,5,5
"Satisfeito","Feminino","Cliente Fiel",666,5,3,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",2176,2,2,2
"Satisfeito","Masculino","Cliente Fiel",2018,4,5,4
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",290,1,2,2
"Satisfeito","Feminino","Cliente Fiel",200,5,4,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2311,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",990,2,2,2
"Satisfeito","Feminino","Cliente Nao Fiel",630,5,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",748,3,3,5
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",611,4,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",585,3,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",405,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",404,3,3,3
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1053,3,2,2
"Satisfeito","Feminino","Cliente Fiel",302,2,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",562,2,2,2
"Satisfeito","Feminino","Cliente Nao Fiel",1167,0,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",102,2,3,3
"Satisfeito","Masculino","Cliente Fiel",1834,4,5,4
"Satisfeito","Masculino","Cliente Nao Fiel",1357,4,4,4
"Satisfeito","Feminino","Cliente Fiel",489,5,5,5
"Satisfeito","Masculino","Cliente Fiel",2523,2,4,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",351,1,3,5
"Satisfeito","Masculino","Cliente Fiel",1120,2,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Nao Fiel",1035,4,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1290,1,2,2
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",480,1,1,1
"Satisfeito","Masculino","Cliente Nao Fiel",143,0,2,2
"Satisfeito","Feminino","Cliente Fiel",401,5,5,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",2935,2,1,1
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",925,2,2,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",2640,3,2,2
"Satisfeito","Masculino","Cliente Fiel",543,4,5,5
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",399,2,1,1
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",1310,2,5,5
"Satisfeito","Masculino","Cliente Fiel",214,1,4,5
"Satisfeito","Feminino","Cliente Nao Fiel",837,4,2,2
"Satisfeito","Feminino","Cliente Fiel",1056,5,4,5
"Satisfeito","Masculino","Cliente Fiel",1773,3,3,4
"Satisfeito","Masculino","Cliente Fiel",3307,3,4,5
"Neutro ou Insatisfeito","Masculino","Cliente Nao Fiel",356,3,2,2
"Satisfeito","Masculino","Cliente Fiel",3376,3,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1023,1,3,3
"Satisfeito","Masculino","Cliente Fiel",2742,1,2,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",3228,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",1404,4,5,5
"Neutro ou Insatisfeito","Feminino","Cliente Fiel",495,2,2,2
"Satisfeito","Masculino","Cliente Fiel",1107,4,4,4
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",406,2,3,3
"Neutro ou Insatisfeito","Masculino","Cliente Fiel",972,1,4,5
"Satisfeito","Feminino","Cliente Fiel",2328,5,3,4
